User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
U3,19,Male,Student,iOS,5.3,5.7,5,9.0,4,14,5,6.3
U6,32,Female,Student,Android,10.9,4.2,9,6.3,7,34,5,3.6
U9,52,Female,Business Owner,Android,9.4,2.5,3,6.4,4,17,3,3.1
U11,55,Other,Professional,Android,8.3,1.1,8,5.7,9,59,1,7.3
U12,45,Other,Business Owner,Android,12.0,6.7,6,4.9,10,12,1,9.2
U13,20,Female,Business Owner,iOS,11.1,5.6,3,5.0,4,22,6,4.2
U16,31,Male,Business Owner,Android,11.6,5.5,9,8.9,5,29,0,7.9
U18,50,Female,Student,Android,10.8,5.7,8,4.5,5,57,0,5.3
U20,19,Other,Professional,Android,3.9,4.2,1,6.0,5,45,2,11.8
U22,30,Other,Professional,iOS,9.5,6.9,2,8.4,6,28,2,3.9
U23,59,Female,Freelancer,Android,10.9,4.9,5,8.8,8,31,6,2.7
U24,52,Female,Student,iOS,5.5,5.1,4,8.3,8,40,2,12.5
U25,44,Female,Business Owner,Android,3.7,4.2,7,6.7,6,40,5,12.0
U26,32,Female,Professional,iOS,10.1,7.5,8,7.3,10,31,4,6.9
U28,55,Other,Student,iOS,9.7,6.1,1,6.3,10,18,2,5.1
U29,35,Male,Professional,iOS,11.7,1.6,1,4.9,10,42,4,4.7
U30,18,Other,Student,iOS,11.4,7.8,3,5.4,7,41,0,8.9
U32,45,Other,Freelancer,Android,5.8,3.8,4,5.9,10,25,0,7.9
U33,39,Other,Professional,Android,8.2,2.3,8,7.8,6,41,3,4.1
U34,35,Other,Freelancer,iOS,3.4,2.0,7,7.1,6,21,1,9.8
U36,31,Male,Freelancer,Android,7.1,2.0,9,8.4,5,58,0,6.1
U38,24,Male,Freelancer,iOS,3.9,6.4,6,7.9,5,57,1,5.1
U39,23,Other,Professional,Android,8.3,0.5,2,4.3,5,52,1,3.8
U42,40,Female,Professional,iOS,9.6,6.2,3,4.6,7,46,0,3.6
U46,20,Male,Student,iOS,9.0,0.9,6,8.7,4,56,5,8.6
U47,47,Female,Freelancer,iOS,5.5,6.9,10,5.1,9,6,6,2.1
U49,25,Female,Freelancer,iOS,10.4,1.5,9,4.3,8,37,5,9.0
U51,23,Female,Student,Android,9.7,6.0,1,8.6,4,34,6,10.1
U52,53,Female,Freelancer,Android,6.8,7.2,9,7.5,10,37,2,12.3
U53,36,Female,Freelancer,iOS,4.0,5.0,6,6.9,9,32,3,13.0
U56,41,Female,Professional,iOS,6.3,2.6,1,4.8,4,35,3,8.2
U57,54,Male,Student,Android,3.8,7.8,5,8.9,9,24,6,5.6
U60,20,Male,Freelancer,Android,9.8,6.8,1,8.2,8,43,0,12.2
U62,32,Male,Professional,Android,9.7,7.3,2,5.8,5,45,0,10.5
U64,23,Female,Freelancer,iOS,3.9,7.7,6,5.0,6,24,0,3.7
U67,42,Other,Professional,Android,8.1,4.6,3,8.2,5,13,6,9.6
U68,35,Other,Professional,Android,3.7,4.2,10,5.6,4,58,4,11.3
U69,47,Other,Student,Android,10.2,2.4,4,5.3,10,16,4,5.4
U70,58,Other,Business Owner,iOS,7.4,8.0,10,4.7,9,41,5,9.6
U71,41,Other,Student,Android,3.7,0.9,2,7.2,6,55,0,12.4
U72,28,Male,Student,iOS,4.3,7.1,5,6.1,4,9,6,7.1
U73,41,Other,Freelancer,Android,11.5,4.6,6,6.6,7,52,3,11.1
U74,40,Female,Student,iOS,9.1,6.1,6,7.4,10,27,6,10.6
U75,31,Other,Freelancer,iOS,4.5,7.2,1,5.8,7,15,6,11.6
U77,35,Female,Student,Android,6.7,3.8,1,5.1,8,45,3,8.0
U78,59,Other,Business Owner,Android,10.2,5.5,10,5.0,8,60,5,12.0
U79,22,Female,Business Owner,iOS,6.6,3.0,6,7.0,9,36,2,12.8
U81,58,Male,Professional,iOS,4.7,3.8,10,7.6,5,32,3,11.1
U82,28,Other,Professional,iOS,11.7,3.9,4,4.6,4,6,6,3.0
U85,28,Male,Freelancer,iOS,10.8,1.2,5,4.6,4,28,5,13.4
U87,42,Other,Student,iOS,9.3,7.1,5,7.9,5,26,6,8.9
U88,35,Female,Business Owner,Android,9.4,1.3,7,7.9,4,35,6,2.4
U89,58,Other,Professional,iOS,11.4,4.4,9,6.6,9,30,5,11.9
U90,53,Male,Freelancer,Android,10.3,7.9,10,4.9,10,20,3,11.7
U91,32,Female,Student,iOS,6.4,7.9,9,5.3,6,39,1,4.4
U92,38,Other,Freelancer,Android,10.3,3.3,9,4.7,10,33,1,7.6
U95,20,Female,Professional,iOS,3.7,4.3,10,4.1,8,15,2,10.6
U96,38,Male,Freelancer,iOS,3.0,5.0,7,7.5,6,16,6,7.6
U98,35,Other,Business Owner,iOS,5.5,6.4,3,5.5,6,29,5,8.6
U100,31,Other,Student,iOS,9.4,2.8,3,7.6,9,35,3,13.7
U103,31,Male,Student,Android,4.6,6.4,4,8.2,6,10,0,13.7
U105,49,Female,Business Owner,iOS,3.8,7.2,4,5.1,9,17,0,13.3
U107,59,Other,Business Owner,iOS,9.9,1.9,3,7.3,10,21,6,9.8
U108,47,Male,Freelancer,iOS,7.8,7.9,1,5.0,9,46,1,8.3
U109,27,Female,Freelancer,iOS,11.8,6.5,3,8.7,10,46,3,13.7
U110,34,Male,Freelancer,Android,6.0,6.7,3,6.4,6,5,2,10.6
U111,26,Female,Business Owner,iOS,9.1,3.2,4,6.7,9,9,6,3.9
U113,53,Female,Business Owner,iOS,10.3,6.8,1,5.3,5,44,5,9.9
U114,52,Male,Student,iOS,5.1,6.0,5,6.2,4,43,0,11.6
U115,34,Other,Student,Android,3.0,6.4,8,8.3,4,8,6,8.9
U116,55,Female,Business Owner,Android,8.8,1.1,4,5.3,5,56,0,6.5
U118,55,Other,Freelancer,Android,4.9,6.7,10,6.7,6,53,1,2.9
U119,43,Other,Student,iOS,8.4,7.1,6,6.4,9,15,3,5.9
U120,41,Male,Professional,Android,7.2,1.6,4,8.9,10,16,3,12.9
U122,26,Female,Student,iOS,5.8,4.3,4,4.8,5,45,0,2.5
U124,49,Female,Professional,iOS,6.2,3.8,8,8.7,8,20,5,10.9
U125,23,Male,Freelancer,iOS,3.7,1.7,10,7.4,5,10,0,6.0
U126,21,Male,Student,Android,5.2,4.0,7,6.8,10,26,4,2.3
U127,25,Female,Business Owner,Android,9.1,3.7,8,7.9,9,16,3,7.7
U128,27,Other,Student,Android,10.6,1.6,7,4.2,6,29,4,4.4
U132,56,Male,Professional,Android,5.6,6.1,1,6.4,10,29,6,10.3
U134,42,Male,Business Owner,iOS,9.3,3.5,3,7.7,7,14,1,4.3
U135,42,Female,Student,iOS,5.1,0.8,7,8.6,5,6,1,13.9
U136,56,Female,Student,Android,3.1,1.4,7,7.7,10,57,5,4.8
U137,47,Female,Freelancer,Android,10.0,7.6,6,8.1,6,19,5,5.5
U139,34,Male,Business Owner,Android,4.2,1.5,6,7.4,10,8,1,5.5
U141,18,Male,Business Owner,Android,3.3,6.8,1,8.6,5,59,4,12.0
U142,25,Male,Freelancer,iOS,11.2,1.0,8,4.1,8,52,4,8.7
U144,35,Other,Professional,Android,7.8,3.0,7,4.2,5,51,3,5.2
U145,59,Male,Business Owner,iOS,7.2,5.3,9,5.2,5,6,1,6.2
U148,36,Other,Business Owner,Android,6.2,1.4,5,6.4,7,36,0,8.8
U151,47,Other,Business Owner,iOS,6.9,6.5,1,5.0,7,56,0,3.0
U153,34,Female,Freelancer,iOS,8.0,3.6,8,7.4,6,52,1,12.5
U154,50,Male,Professional,Android,9.8,3.6,8,4.6,10,59,5,7.3
U155,29,Male,Professional,iOS,7.5,5.9,4,5.6,9,24,0,8.5
U156,50,Other,Student,iOS,5.8,1.0,7,7.7,4,37,3,8.6
U158,58,Female,Professional,iOS,5.2,3.2,2,5.7,6,19,6,6.7
U159,37,Female,Freelancer,Android,5.3,3.2,7,9.0,7,52,1,4.7
U160,58,Male,Student,iOS,3.9,4.5,10,8.1,9,15,1,11.3
U161,50,Other,Student,iOS,11.9,0.7,8,6.5,10,15,3,9.2
U162,56,Female,Professional,Android,5.0,2.9,2,5.7,10,30,5,13.5
U167,52,Female,Student,Android,11.5,6.2,3,4.2,5,27,5,2.8
U173,19,Other,Student,Android,5.8,4.0,9,8.8,8,26,4,8.9
U176,37,Other,Professional,iOS,10.3,7.8,9,4.9,6,18,3,3.9
U178,21,Other,Professional,iOS,5.1,4.7,8,5.0,8,11,2,12.9
U179,33,Male,Student,Android,5.3,1.3,6,6.6,7,31,2,10.9
U182,23,Female,Student,Android,10.2,2.9,2,5.0,8,49,3,9.6
U183,49,Male,Student,iOS,3.6,2.2,2,4.6,5,50,2,11.8
U187,26,Male,Business Owner,iOS,6.1,6.6,4,4.9,5,29,3,4.9
U188,60,Female,Business Owner,iOS,6.0,7.2,6,7.9,9,40,5,12.5
U190,53,Other,Professional,Android,3.6,4.5,9,4.4,4,42,5,11.6
U193,51,Other,Student,Android,3.3,4.3,7,5.9,6,41,0,13.3
U197,52,Other,Student,iOS,5.0,3.3,9,5.7,10,54,2,5.3
U200,43,Male,Professional,iOS,8.4,1.0,8,8.6,4,26,4,7.9
U201,60,Male,Business Owner,Android,5.1,3.1,2,8.9,9,53,5,13.8
U206,46,Male,Business Owner,Android,6.6,1.7,7,8.6,5,11,5,12.5
U207,25,Male,Freelancer,iOS,7.5,6.0,2,8.3,7,15,5,9.6
U208,33,Male,Freelancer,Android,3.4,7.3,2,4.4,10,10,2,6.4
U209,32,Female,Business Owner,iOS,7.2,7.2,6,4.2,9,13,3,3.7
U214,53,Female,Professional,Android,4.3,7.2,8,7.4,4,57,1,14.0
U215,32,Female,Professional,iOS,3.1,3.4,3,5.1,9,59,2,7.1
U220,58,Other,Professional,Android,7.2,5.6,3,6.8,10,42,4,10.1
U221,21,Other,Student,iOS,4.5,3.0,10,4.3,10,27,0,6.1
U222,32,Male,Business Owner,Android,3.1,7.9,1,4.6,5,14,6,13.1
U223,22,Other,Student,iOS,6.5,6.9,2,4.4,7,17,1,7.7
U225,39,Female,Business Owner,Android,7.3,2.3,6,7.8,5,52,1,8.8
U227,50,Other,Freelancer,Android,10.9,7.8,5,7.0,8,15,4,13.8
U228,33,Female,Student,iOS,9.6,5.8,7,5.3,8,59,5,2.5
U229,35,Other,Business Owner,Android,10.3,2.9,7,8.8,8,41,0,3.6
U231,49,Female,Business Owner,Android,4.9,5.0,9,5.3,4,29,3,13.6
U233,52,Other,Student,iOS,4.8,3.4,8,6.1,10,12,3,8.9
U236,54,Other,Freelancer,iOS,8.5,5.8,3,5.2,7,37,4,12.5
U239,48,Other,Professional,iOS,6.0,5.6,8,7.8,5,41,0,9.9
U241,30,Male,Freelancer,iOS,10.1,0.9,1,5.3,6,50,6,13.6
U243,24,Male,Business Owner,Android,8.6,6.1,2,8.0,8,57,0,8.2
U247,45,Other,Student,iOS,4.3,6.1,6,6.5,9,23,2,4.2
U248,44,Female,Freelancer,Android,10.0,1.8,2,8.3,8,60,1,2.5
U249,47,Male,Freelancer,Android,3.4,3.3,4,7.0,6,25,2,10.2
U250,21,Other,Freelancer,iOS,5.0,5.6,8,6.1,9,13,1,13.6
U254,21,Female,Student,iOS,7.3,2.6,8,8.5,8,15,1,5.4
U255,43,Other,Business Owner,Android,4.3,3.2,1,7.9,9,30,5,9.7
U260,30,Male,Professional,iOS,3.4,3.1,10,4.8,4,58,4,7.0
U261,52,Female,Freelancer,iOS,11.7,4.8,7,5.5,8,15,2,6.6
U264,45,Female,Student,Android,7.2,4.1,6,6.0,6,29,2,2.5
U268,33,Male,Freelancer,iOS,3.6,6.2,5,9.0,4,36,0,12.0
U269,22,Male,Student,iOS,11.0,3.4,10,8.9,4,55,2,9.4
U270,46,Male,Business Owner,Android,4.4,2.5,6,5.5,7,11,1,13.7
U272,24,Female,Business Owner,iOS,10.1,5.2,8,4.8,6,48,0,11.5
U274,59,Other,Professional,Android,10.9,7.2,9,7.6,10,43,3,2.3
U276,18,Male,Freelancer,iOS,6.9,4.3,8,6.6,10,41,3,3.5
U281,49,Male,Professional,iOS,10.6,5.3,1,5.2,4,58,1,6.1
U284,43,Female,Business Owner,iOS,8.4,5.6,4,7.8,7,34,5,5.2
U285,21,Male,Freelancer,iOS,5.3,2.8,8,8.1,4,19,3,13.7
U286,28,Male,Business Owner,Android,8.5,2.5,5,7.2,9,7,3,6.2
U287,42,Other,Freelancer,Android,9.0,3.8,10,5.2,5,31,4,3.7
U288,18,Other,Business Owner,Android,5.6,3.3,8,4.7,10,35,6,6.3
U289,42,Other,Professional,Android,5.6,7.6,5,4.3,6,13,6,11.4
U290,34,Male,Professional,iOS,5.4,0.6,8,6.9,5,12,4,9.0
U291,47,Male,Freelancer,Android,10.0,3.5,3,6.7,5,8,6,2.5
U294,53,Other,Professional,iOS,9.0,7.6,10,8.4,8,13,2,10.5
U298,30,Male,Business Owner,iOS,7.9,7.0,5,8.1,9,18,6,10.8
U300,31,Male,Student,iOS,8.8,1.7,4,4.6,9,59,5,2.4
U302,55,Female,Student,iOS,10.8,1.0,2,4.3,10,44,5,11.0
U306,21,Male,Business Owner,Android,11.4,0.6,3,8.0,8,15,0,7.8
U308,55,Male,Student,Android,11.5,6.1,5,8.3,9,27,1,6.2
U311,51,Other,Business Owner,Android,5.6,6.9,3,7.2,8,33,4,4.2
U313,21,Male,Student,iOS,8.8,6.7,7,6.5,10,34,6,5.6
U314,50,Other,Student,iOS,8.3,3.0,5,4.7,10,49,3,13.5
U315,23,Male,Professional,Android,4.2,1.0,6,6.3,9,18,5,8.7
U317,22,Other,Student,Android,10.9,6.6,7,5.2,6,14,2,6.4
U318,56,Other,Freelancer,iOS,11.5,6.6,5,7.0,10,5,2,8.5
U320,33,Other,Professional,Android,6.0,1.4,4,8.4,10,21,4,4.6
U321,43,Other,Freelancer,iOS,6.2,2.3,6,4.3,10,49,1,8.7
U322,25,Female,Freelancer,iOS,4.4,1.2,3,7.6,10,57,1,4.4
U323,54,Male,Professional,iOS,5.0,7.9,3,4.6,8,46,2,11.7
U324,33,Male,Professional,Android,7.8,1.5,5,5.2,7,29,0,8.2
U325,55,Male,Student,Android,9.7,1.0,2,8.5,10,14,4,5.7
U326,56,Female,Business Owner,iOS,9.0,5.2,7,7.2,8,60,0,10.2
U327,20,Female,Freelancer,iOS,4.9,7.9,3,4.3,10,21,5,4.1
U328,57,Other,Professional,Android,6.2,3.5,6,7.7,5,31,3,13.6
U330,44,Other,Business Owner,iOS,11.5,7.2,6,8.4,6,22,2,12.1
U332,55,Other,Freelancer,iOS,4.4,3.4,3,6.9,7,48,6,9.7
U334,51,Female,Student,Android,6.9,3.9,6,7.8,9,55,4,2.8
U336,34,Male,Freelancer,iOS,7.6,1.9,5,7.5,7,54,5,12.6
U340,33,Other,Student,iOS,4.3,6.8,4,4.2,7,35,6,6.6
U341,34,Male,Student,Android,11.3,3.4,3,8.0,10,56,0,4.6
U343,26,Other,Student,iOS,11.1,5.4,7,8.4,4,39,2,13.5
U345,59,Female,Professional,iOS,6.4,6.5,1,6.1,9,58,3,7.5
U347,47,Other,Professional,Android,10.9,6.8,4,8.7,8,52,1,4.9
U348,38,Female,Professional,Android,6.4,7.4,9,7.6,10,15,3,9.3
U349,22,Male,Freelancer,Android,5.3,7.5,8,4.2,9,26,1,2.0
U351,47,Other,Business Owner,iOS,5.4,4.6,5,4.3,4,27,2,6.3
U353,54,Female,Business Owner,iOS,3.7,7.8,3,5.5,8,39,2,13.8
U354,24,Male,Freelancer,iOS,11.5,6.2,2,4.8,8,6,4,10.3
U355,22,Female,Freelancer,iOS,5.6,3.1,9,7.9,7,47,4,5.6
U356,52,Female,Student,Android,4.3,3.9,9,8.9,4,6,5,9.0
U357,31,Male,Freelancer,Android,3.3,3.6,6,4.8,8,57,2,2.0
U359,34,Female,Professional,Android,5.2,5.1,6,6.7,4,42,5,3.0
U360,26,Other,Business Owner,iOS,10.8,4.1,9,5.6,5,55,2,12.7
U361,40,Male,Student,Android,3.8,3.1,6,5.1,5,23,3,6.6
U362,22,Male,Professional,Android,5.4,3.3,7,4.1,8,36,6,7.0
U363,33,Female,Business Owner,Android,10.2,6.2,8,5.4,6,42,4,12.8
U364,41,Female,Professional,iOS,5.0,4.8,2,5.1,9,53,2,9.8
